name,calories_per_100g,protein_per_100g,calories_per_unit,protein_per_unit,unit_type,serving_name,serving_quantity,categories,image
White Rice Cooked,130,2.5,,,g,plate,200,High Carb;Veg,foods/white_cooked_rice_KcbRlHk.jpg
Roti / Chapati,,,120,3,unit,,,High Carb;Veg,foods/roti.jpg
Butter Roti,,,160,3,unit,,,High Carb;Veg;Junk,foods/Tandoori-Roti-500x500.webp
Naan,,,260,6,unit,,,High Carb;Veg,foods/naan.jpg
Butter Naan,,,300,7,unit,,,High Carb;Veg;Junk,foods/butter_naan.jpg
Puri,,,150,2,unit,,,Street Food;Veg,foods/puri.jpg
Pav,,,150,4,unit,,,Street Food;High Carb;Veg,foods/pav.jpg
Egg,,,70,6,unit,,,High Protein;Egg,foods/eggsss.jpg
Fried Egg,,,90,6,unit,,,Junk;High Protein;Egg,foods/imagefried_egg.jpg
Cow Milk,65,3.3,,,ml,glass,250,Veg,foods/cow_milk.webp
Curd,60,3.5,,,g,,,Veg,foods/curd.webp
Paneer,265,18,,,g,,,Veg;Indian;High Protein,foods/paneer.jpg
Roasted Panner,260,18,,,g,,,Veg,foods/roasted_paneer.jpg
Rajma,140,9,,,g,bowl,150,Veg;Indian,foods/rajma.jpg
Chole,160,8,,,g,bowl,150,Veg;Indian,foods/chole.jpg
Daal Tadka,130,6,,,g,,,Veg,foods/daal_tadka.jpg
Khichdi,110,4,,,g,,,Veg,foods/khichdi.jpg
Veg Kolhapuri,150,4,,,g,,,Street Food;Veg,foods/Veg-Kolhapuri.webp
Bhendi,90,2,,,g,,,Veg,foods/bhendi.jpg
Panner Tikka,260,18,,,g,,,Veg,foods/Paneer-Tikka.jpg
Butter Panner,300,10,,,g,,,Veg;Junk,foods/butter_paneer.jpg
Panner Chilli,280,14,,,g,,,Veg,foods/paneer_chilli.jpg
Panner Crispy,350,14,,,g,,,Veg,foods/paneer_crispy.jpg
Paneer Paratha,,,250,8,unit,,,Veg;Indian;High Protein,foods/paneer_paratha.jpg
Panner Shawarma,,,350,15,g,,,Veg,foods/paneer_shawarma.jpg
Panner Biryani,180,6,,,g,plate,200,Veg;Indian,foods/paneer-biryani.jpg
Masala Rice,160,4,,,g,plate,200,High Carb;Veg,foods/masala_rice.jpeg
Veg Fried Rice,170,4,,,g,plate,200,High Carb;Veg;Junk,foods/veg_fried_rice.jpg
Shezwan Fried Rice,190,4,,,g,plate,200,High Carb;Veg;Junk,foods/schezwan-fried-rice.jpg
Veg Hyderabadi,170,5,,,g,,,Veg,foods/veg-hyderabadi-recipe.jpg
Veg Noodles,140,4,,,g,bowl,200,High Carb;Veg;Chinese,foods/veg_noodles.jpg
